Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,70.0 °F,  -,59.0 °F,68%,29.88 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
1:51 AM,69.1 °F,  -,59.0 °F,70%,29.88 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
2:51 AM,66.9 °F,  -,59.0 °F,76%,29.89 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
3:51 AM,66.0 °F,  -,59.0 °F,78%,29.89 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
4:51 AM,64.0 °F,  -,59.0 °F,84%,29.89 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
5:51 AM,63.0 °F,  -,59.0 °F,87%,29.91 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
6:51 AM,64.0 °F,  -,60.1 °F,87%,29.94 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,68.0 °F,  -,61.0 °F,78%,29.95 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,72.0 °F,  -,61.0 °F,68%,29.94 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,75.0 °F,  -,59.0 °F,57%,29.95 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:51 AM,77.0 °F,  -,57.0 °F,50%,29.96 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:51 AM,80.1 °F,80.2 °F,55.9 °F,43%,29.95 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
12:51 PM,80.1 °F,80.0 °F,54.0 °F,40%,29.95 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:51 PM,82.9 °F,81.8 °F,53.1 °F,36%,29.95 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:51 PM,82.9 °F,81.9 °F,54.0 °F,37%,29.93 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:51 PM,84.9 °F,  -,51.1 °F,31%,29.93 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:51 PM,82.9 °F,82.0 °F,55.0 °F,38%,29.93 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Partly Cloudy
5:51 PM,82.0 °F,81.6 °F,55.9 °F,41%,29.93 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,80.1 °F,80.1 °F,55.0 °F,42%,29.94 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
7:51 PM,75.9 °F,  -,55.0 °F,48%,29.94 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,73.0 °F,  -,53.1 °F,49%,29.95 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Clear
9:51 PM,71.1 °F,  -,54.0 °F,55%,29.96 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Clear
10:51 PM,71.1 °F,  -,54.0 °F,55%,29.97 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Clear
11:51 PM,70.0 °F,  -,55.0 °F,59%,29.98 in,10.0 mi,South,3.5 mph,  -,N/A,	 ,Clear
