Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,66.0 °F,61.0 °F,84%,30.02 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
1:51 AM,66.0 °F,62.1 °F,87%,30.01 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Overcast
2:22 AM,66.0 °F,62.1 °F,87%,30.02 in,2.5 mi,SSE,6.9 mph,  -,0.01 in,Rain,Heavy Rain
2:24 AM,66.0 °F,63.0 °F,90%,30.02 in,3.0 mi,SSE,8.1 mph,  -,0.02 in,Rain,Heavy Rain
2:29 AM,66.0 °F,63.0 °F,90%,30.02 in,5.0 mi,SSE,5.8 mph,  -,0.12 in,Rain,Light Rain
2:43 AM,66.0 °F,63.0 °F,90%,30.01 in,3.0 mi,SSE,5.8 mph,  -,0.13 in,Rain,Light Rain
2:51 AM,66.0 °F,63.0 °F,90%,30.01 in,3.0 mi,SSE,4.6 mph,  -,0.17 in,Rain,Rain
3:27 AM,66.0 °F,62.1 °F,87%,30.01 in,6.0 mi,SE,5.8 mph,  -,0.03 in,	 ,Overcast
3:51 AM,66.0 °F,62.1 °F,87%,30.00 in,6.0 mi,SSE,5.8 mph,  -,0.03 in,	 ,Overcast
4:51 AM,66.0 °F,62.1 °F,87%,30.01 in,7.0 mi,SE,9.2 mph,  -,N/A,	 ,Overcast
5:51 AM,64.9 °F,60.1 °F,84%,30.01 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Overcast
6:51 AM,64.9 °F,59.0 °F,81%,30.02 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:51 AM,66.9 °F,59.0 °F,76%,30.03 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
8:51 AM,68.0 °F,60.1 °F,76%,30.04 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:51 AM,70.0 °F,59.0 °F,68%,30.02 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:51 AM,72.0 °F,57.9 °F,61%,30.01 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:51 AM,75.0 °F,60.1 °F,60%,30.01 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
12:51 PM,75.0 °F,59.0 °F,57%,30.00 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
1:51 PM,75.9 °F,59.0 °F,56%,29.99 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:51 PM,79.0 °F,59.0 °F,50%,29.97 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:12 PM,77.0 °F,57.9 °F,52%,29.97 in,10.0 mi,Calm,Calm,  -,N/A,Thunderstorm,Mostly Cloudy
3:27 PM,78.1 °F,59.0 °F,52%,29.98 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:51 PM,75.0 °F,62.1 °F,64%,29.98 in,7.0 mi,South,15.0 mph,19.6 mph,0.00 in,"Rain
	,
Thunderstorm",Light Thunderstorms and Rain
4:23 PM,70.0 °F,62.1 °F,76%,30.00 in,5.0 mi,ENE,9.2 mph,20.7 mph,0.07 in,"Rain
	,
Thunderstorm",Light Thunderstorms and Rain
4:46 PM,66.2 °F,60.8 °F,83%,30.00 in,5.0 mi,ENE,9.2 mph,20.7 mph,0.10 in,"Rain
	,
Thunderstorm",Light Thunderstorms and Rain
4:51 PM,68.0 °F,62.1 °F,81%,29.99 in,7.0 mi,ENE,9.2 mph,20.7 mph,0.11 in,"Rain
	,
Thunderstorm",Light Thunderstorms and Rain
5:46 PM,68.0 °F,64.4 °F,88%,30.02 in,7.0 mi,North,9.2 mph,  -,0.04 in,Rain,Light Rain
5:51 PM,68.0 °F,63.0 °F,84%,30.01 in,7.0 mi,North,8.1 mph,  -,0.04 in,Rain,Light Rain
6:51 PM,66.0 °F,61.0 °F,84%,30.01 in,10.0 mi,NNW,5.8 mph,  -,0.00 in,	 ,Overcast
7:51 PM,66.9 °F,63.0 °F,87%,30.01 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:51 PM,66.9 °F,63.0 °F,87%,30.02 in,9.0 mi,NE,4.6 mph,  -,0.01 in,	 ,Overcast
9:51 PM,66.9 °F,62.1 °F,84%,30.02 in,10.0 mi,Calm,Calm,  -,0.00 in,	 ,Mostly Cloudy
10:51 PM,66.0 °F,62.1 °F,87%,30.02 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
11:51 PM,66.0 °F,63.0 °F,90%,30.01 in,7.0 mi,North,5.8 mph,  -,N/A,	 ,Mostly Cloudy
