Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,55.0 °F,50.0 °F,83%,30.33 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
1:51 AM,53.1 °F,48.9 °F,86%,30.32 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:51 AM,54.0 °F,48.9 °F,83%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:51 AM,53.1 °F,45.0 °F,74%,30.30 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Clear
4:51 AM,55.0 °F,46.0 °F,72%,30.30 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Clear
5:51 AM,53.1 °F,46.0 °F,77%,30.31 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
6:51 AM,53.1 °F,46.0 °F,77%,30.31 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:51 AM,57.0 °F,50.0 °F,77%,30.32 in,8.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:51 AM,60.1 °F,48.9 °F,67%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
9:51 AM,64.0 °F,48.0 °F,56%,30.30 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
10:51 AM,69.1 °F,46.0 °F,44%,30.28 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
11:51 AM,71.1 °F,45.0 °F,39%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
12:51 PM,73.0 °F,43.0 °F,34%,30.25 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Clear
1:51 PM,75.0 °F,46.0 °F,36%,30.22 in,10.0 mi,ENE,8.1 mph,  -,N/A,	 ,Clear
2:51 PM,73.0 °F,48.0 °F,41%,30.20 in,10.0 mi,NE,8.1 mph,  -,N/A,	 ,Scattered Clouds
3:51 PM,72.0 °F,48.0 °F,43%,30.17 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Mostly Cloudy
4:51 PM,71.1 °F,48.0 °F,44%,30.15 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,69.1 °F,46.9 °F,45%,30.15 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Overcast
6:51 PM,66.0 °F,48.0 °F,52%,30.14 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Overcast
7:51 PM,64.9 °F,48.9 °F,56%,30.13 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Overcast
8:51 PM,64.0 °F,50.0 °F,60%,30.13 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Overcast
9:51 PM,64.0 °F,51.1 °F,63%,30.12 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Overcast
10:51 PM,61.0 °F,52.0 °F,72%,30.12 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Overcast
11:51 PM,59.0 °F,52.0 °F,78%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
