Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:15 AM,64.0 °F,  -,60.1 °F,87%,29.80 in,7.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:51 AM,64.0 °F,  -,60.1 °F,87%,29.79 in,6.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:51 AM,63.0 °F,  -,60.1 °F,90%,29.80 in,6.0 mi,SW,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:51 AM,62.1 °F,  -,59.0 °F,90%,29.81 in,8.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:51 AM,61.0 °F,  -,57.9 °F,90%,29.82 in,6.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:05 AM,62.1 °F,  -,59.0 °F,90%,29.83 in,6.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
4:51 AM,61.0 °F,  -,59.0 °F,93%,29.83 in,6.0 mi,South,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:12 AM,62.1 °F,  -,60.1 °F,93%,29.84 in,6.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:51 AM,63.0 °F,  -,61.0 °F,93%,29.84 in,3.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
6:15 AM,62.1 °F,  -,61.0 °F,96%,29.85 in,1.2 mi,SSW,4.6 mph,  -,N/A,	 ,Overcast
6:51 AM,62.1 °F,  -,61.0 °F,96%,29.86 in,1.0 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
7:07 AM,62.1 °F,  -,61.0 °F,96%,29.87 in,0.8 mi,South,3.5 mph,  -,N/A,	 ,Overcast
7:51 AM,62.1 °F,  -,61.0 °F,96%,29.87 in,0.5 mi,South,3.5 mph,  -,N/A,Fog,Fog
8:22 AM,63.0 °F,  -,61.0 °F,93%,29.89 in,1.2 mi,West,3.5 mph,  -,N/A,	 ,Overcast
8:35 AM,63.0 °F,  -,61.0 °F,93%,29.90 in,1.8 mi,SW,3.5 mph,  -,N/A,	 ,Overcast
8:48 AM,62.6 °F,  -,60.8 °F,94%,29.90 in,2.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
8:51 AM,63.0 °F,  -,61.0 °F,93%,29.90 in,2.5 mi,WSW,3.5 mph,  -,N/A,	 ,Overcast
9:23 AM,64.0 °F,  -,61.0 °F,90%,29.91 in,3.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
9:51 AM,66.0 °F,  -,61.0 °F,84%,29.91 in,5.0 mi,WSW,4.6 mph,  -,N/A,	 ,Haze
10:36 AM,70.0 °F,  -,62.1 °F,76%,29.91 in,6.0 mi,SE,4.6 mph,  -,N/A,	 ,Haze
10:51 AM,70.0 °F,  -,62.1 °F,76%,29.90 in,7.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:11 AM,71.1 °F,  -,62.1 °F,73%,29.91 in,7.0 mi,South,5.8 mph,  -,N/A,	 ,Scattered Clouds
11:51 AM,73.9 °F,  -,62.1 °F,66%,29.89 in,9.0 mi,Variable,3.5 mph,  -,N/A,	 ,Scattered Clouds
12:17 PM,75.0 °F,  -,61.0 °F,62%,29.90 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:51 PM,75.0 °F,  -,61.0 °F,62%,29.88 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
1:38 PM,77.0 °F,  -,61.0 °F,58%,29.89 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:51 PM,78.1 °F,  -,61.0 °F,56%,29.88 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:51 PM,77.0 °F,  -,60.1 °F,56%,29.87 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
3:51 PM,80.1 °F,81.1 °F,61.0 °F,52%,29.86 in,10.0 mi,North,  -,  -,N/A,	 ,Partly Cloudy
4:51 PM,80.1 °F,80.9 °F,60.1 °F,50%,29.86 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
5:51 PM,80.1 °F,80.4 °F,57.0 °F,45%,29.88 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,75.9 °F,  -,61.0 °F,60%,29.88 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
7:51 PM,73.0 °F,  -,62.1 °F,68%,29.91 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,71.1 °F,  -,62.1 °F,73%,29.92 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:51 PM,70.0 °F,  -,61.0 °F,73%,29.92 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Partly Cloudy
10:51 PM,69.1 °F,  -,60.1 °F,73%,29.93 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
11:51 PM,68.0 °F,  -,60.1 °F,76%,29.94 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Clear
