Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,75.9 °F,  -,64.9 °F,69%,30.04 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Clear
1:51 AM,75.0 °F,  -,64.9 °F,71%,30.05 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2:51 AM,72.0 °F,  -,64.9 °F,78%,30.05 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:51 AM,72.0 °F,  -,64.9 °F,78%,30.05 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Clear
4:51 AM,71.1 °F,  -,64.0 °F,78%,30.06 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Clear
5:51 AM,71.1 °F,  -,63.0 °F,75%,30.06 in,9.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
6:51 AM,71.1 °F,  -,64.0 °F,78%,30.06 in,8.0 mi,SSE,3.5 mph,  -,N/A,	 ,Clear
7:51 AM,73.9 °F,  -,64.9 °F,73%,30.08 in,8.0 mi,South,4.6 mph,  -,N/A,	 ,Clear
8:51 AM,79.0 °F,  -,63.0 °F,58%,30.08 in,10.0 mi,SSW,4.6 mph,  -,N/A,	 ,Clear
9:51 AM,84.0 °F,84.9 °F,63.0 °F,49%,30.08 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Clear
10:51 AM,87.1 °F,87.5 °F,62.1 °F,43%,30.07 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Clear
11:51 AM,89.1 °F,89.3 °F,62.1 °F,40%,30.06 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
12:51 PM,89.1 °F,89.0 °F,61.0 °F,39%,30.04 in,10.0 mi,South,9.2 mph,20.7 mph,N/A,	 ,Scattered Clouds
1:51 PM,91.0 °F,90.5 °F,60.1 °F,35%,30.02 in,10.0 mi,South,12.7 mph,16.1 mph,N/A,	 ,Scattered Clouds
2:51 PM,91.0 °F,90.0 °F,57.9 °F,33%,30.01 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:51 PM,91.9 °F,90.8 °F,57.9 °F,32%,29.99 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Scattered Clouds
4:51 PM,91.0 °F,89.2 °F,55.9 °F,30%,29.98 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Partly Cloudy
5:51 PM,89.1 °F,88.2 °F,59.0 °F,36%,29.99 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,84.9 °F,84.2 °F,57.9 °F,40%,29.99 in,10.0 mi,ESE,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:51 PM,80.1 °F,80.7 °F,59.0 °F,48%,30.00 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,80.1 °F,80.7 °F,59.0 °F,48%,30.00 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Partly Cloudy
9:51 PM,79.0 °F,  -,60.1 °F,52%,30.00 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Clear
10:51 PM,75.9 °F,  -,61.0 °F,60%,29.99 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
11:51 PM,73.0 °F,  -,61.0 °F,66%,29.99 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Clear
