Time (CDT),Temp.,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,73.9 °F,  -,62.1 °F,66%,29.98 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Clear
1:51 AM,72.0 °F,  -,59.0 °F,64%,29.98 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Clear
2:51 AM,71.1 °F,  -,59.0 °F,66%,29.97 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:51 AM,69.1 °F,  -,57.0 °F,65%,29.98 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Partly Cloudy
4:51 AM,69.1 °F,  -,57.0 °F,65%,29.98 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:51 AM,68.0 °F,  -,57.0 °F,68%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
6:51 AM,68.0 °F,  -,57.0 °F,68%,29.99 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:51 AM,72.0 °F,  -,57.9 °F,61%,30.00 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,77.0 °F,  -,59.0 °F,54%,30.00 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,81.0 °F,81.7 °F,61.0 °F,50%,30.00 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,84.0 °F,84.4 °F,61.0 °F,46%,29.99 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:51 AM,88.0 °F,87.9 °F,61.0 °F,40%,29.98 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Partly Cloudy
12:51 PM,90.0 °F,88.1 °F,55.9 °F,31%,29.96 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:51 PM,90.0 °F,87.9 °F,55.0 °F,30%,29.94 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:51 PM,91.9 °F,90.0 °F,55.0 °F,29%,29.91 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Scattered Clouds
3:51 PM,91.0 °F,88.9 °F,55.0 °F,29%,29.90 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Scattered Clouds
4:51 PM,89.1 °F,87.1 °F,55.0 °F,31%,29.90 in,10.0 mi,ESE,15.0 mph,  -,N/A,	 ,Scattered Clouds
5:51 PM,87.1 °F,85.1 °F,54.0 °F,32%,29.90 in,10.0 mi,SE,15.0 mph,  -,N/A,	 ,Partly Cloudy
6:51 PM,84.9 °F,  -,51.1 °F,31%,29.91 in,10.0 mi,SE,11.5 mph,  -,N/A,	 ,Partly Cloudy
7:51 PM,81.0 °F,80.7 °F,55.0 °F,41%,29.92 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:51 PM,79.0 °F,  -,55.9 °F,45%,29.92 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Partly Cloudy
9:51 PM,75.9 °F,  -,57.0 °F,52%,29.92 in,10.0 mi,SSE,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:51 PM,75.9 °F,  -,57.9 °F,54%,29.92 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:51 PM,75.0 °F,  -,57.9 °F,55%,29.91 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Partly Cloudy
