Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,54.0 °F,46.0 °F,75%,29.95 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Scattered Clouds
1:51 AM,53.1 °F,46.0 °F,77%,29.95 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
2:51 AM,53.1 °F,46.0 °F,77%,29.96 in,10.0 mi,WNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
3:51 AM,52.0 °F,46.0 °F,80%,29.96 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Scattered Clouds
4:51 AM,50.0 °F,46.0 °F,86%,29.96 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
5:51 AM,50.0 °F,45.0 °F,83%,29.97 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:51 AM,50.0 °F,45.0 °F,83%,29.99 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Scattered Clouds
7:51 AM,52.0 °F,46.0 °F,80%,30.00 in,10.0 mi,NNW,9.2 mph,  -,N/A,	 ,Scattered Clouds
8:51 AM,55.9 °F,45.0 °F,67%,30.00 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Partly Cloudy
9:51 AM,59.0 °F,45.0 °F,60%,30.01 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:51 AM,61.0 °F,44.1 °F,54%,30.01 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Scattered Clouds
11:51 AM,62.1 °F,41.0 °F,46%,30.01 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Scattered Clouds
12:51 PM,64.0 °F,41.0 °F,43%,30.01 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:51 PM,66.0 °F,43.0 °F,43%,30.02 in,10.0 mi,NW,15.0 mph,21.9 mph,N/A,	 ,Mostly Cloudy
2:51 PM,66.9 °F,41.0 °F,39%,30.01 in,10.0 mi,NW,11.5 mph,17.3 mph,N/A,	 ,Mostly Cloudy
3:51 PM,66.0 °F,41.0 °F,40%,30.00 in,10.0 mi,WNW,12.7 mph,16.1 mph,N/A,	 ,Mostly Cloudy
4:51 PM,64.9 °F,41.0 °F,42%,30.00 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
5:51 PM,61.0 °F,46.0 °F,58%,30.02 in,10.0 mi,North,6.9 mph,  -,0.00 in,	 ,Mostly Cloudy
6:51 PM,60.1 °F,46.0 °F,60%,30.02 in,10.0 mi,WNW,6.9 mph,  -,0.00 in,	 ,Mostly Cloudy
7:51 PM,59.0 °F,46.0 °F,62%,30.03 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:51 PM,57.9 °F,46.0 °F,65%,30.03 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:51 PM,57.0 °F,46.0 °F,67%,30.03 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:51 PM,55.9 °F,46.0 °F,69%,30.03 in,10.0 mi,WNW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
11:51 PM,55.0 °F,46.0 °F,72%,30.03 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Mostly Cloudy
