Time (CDT),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:51 AM,60.1 °F,52.0 °F,75%,30.32 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:51 AM,60.1 °F,52.0 °F,75%,30.31 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Scattered Clouds
2:51 AM,59.0 °F,48.9 °F,69%,30.32 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
3:51 AM,57.9 °F,46.9 °F,67%,30.34 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
4:51 AM,57.0 °F,48.0 °F,72%,30.35 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
5:51 AM,57.9 °F,48.9 °F,72%,30.37 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:51 AM,55.9 °F,48.9 °F,77%,30.38 in,9.0 mi,East,3.5 mph,  -,N/A,	 ,Scattered Clouds
7:51 AM,61.0 °F,53.1 °F,75%,30.40 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
8:51 AM,63.0 °F,52.0 °F,67%,30.41 in,10.0 mi,ESE,11.5 mph,  -,N/A,	 ,Scattered Clouds
9:51 AM,64.9 °F,51.1 °F,61%,30.43 in,10.0 mi,SE,12.7 mph,  -,N/A,	 ,Scattered Clouds
10:51 AM,68.0 °F,48.0 °F,49%,30.42 in,10.0 mi,East,16.1 mph,  -,N/A,	 ,Partly Cloudy
11:51 AM,70.0 °F,45.0 °F,41%,30.42 in,10.0 mi,ESE,12.7 mph,  -,N/A,	 ,Partly Cloudy
12:51 PM,70.0 °F,44.1 °F,39%,30.41 in,10.0 mi,East,12.7 mph,  -,N/A,	 ,Partly Cloudy
1:51 PM,71.1 °F,42.1 °F,35%,30.40 in,10.0 mi,ENE,13.8 mph,25.3 mph,N/A,	 ,Partly Cloudy
2:51 PM,71.1 °F,42.1 °F,35%,30.38 in,10.0 mi,East,11.5 mph,20.7 mph,N/A,	 ,Partly Cloudy
3:51 PM,70.0 °F,42.1 °F,36%,30.37 in,10.0 mi,East,11.5 mph,  -,N/A,	 ,Clear
4:51 PM,69.1 °F,45.0 °F,42%,30.37 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Clear
5:51 PM,68.0 °F,46.0 °F,45%,30.37 in,10.0 mi,ENE,11.5 mph,  -,N/A,	 ,Clear
6:51 PM,64.9 °F,46.9 °F,52%,30.37 in,10.0 mi,ENE,9.2 mph,  -,N/A,	 ,Clear
7:51 PM,63.0 °F,48.0 °F,58%,30.37 in,10.0 mi,NE,6.9 mph,  -,N/A,	 ,Clear
8:51 PM,62.1 °F,48.0 °F,60%,30.38 in,10.0 mi,NE,5.8 mph,  -,N/A,	 ,Clear
9:51 PM,55.9 °F,48.0 °F,75%,30.38 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Clear
10:51 PM,55.9 °F,48.0 °F,75%,30.39 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Clear
11:51 PM,59.0 °F,50.0 °F,72%,30.38 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
