Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,30.0 °F,25.2 °F,16.0 °F,56%,30.47 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
1:52 AM,30.0 °F,26.5 °F,17.1 °F,59%,30.47 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,28.0 °F,19.3 °F,17.1 °F,63%,30.45 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Scattered Clouds
3:52 AM,28.0 °F,20.8 °F,18.0 °F,66%,30.45 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 AM,28.0 °F,21.7 °F,18.0 °F,66%,30.46 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Scattered Clouds
5:52 AM,27.0 °F,20.5 °F,19.0 °F,72%,30.47 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:52 AM,27.0 °F,18.7 °F,19.0 °F,72%,30.50 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Partly Cloudy
7:52 AM,27.0 °F,18.0 °F,19.0 °F,72%,30.51 in,10.0 mi,East,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:52 AM,28.9 °F,19.8 °F,19.0 °F,67%,30.52 in,10.0 mi,East,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:52 AM,32.0 °F,25.6 °F,19.9 °F,61%,30.53 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:52 AM,35.1 °F,30.1 °F,21.0 °F,57%,30.52 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Partly Cloudy
11:52 AM,39.0 °F,35.7 °F,21.9 °F,50%,30.51 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Partly Cloudy
12:52 PM,41.0 °F,  -,21.9 °F,47%,30.46 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
1:52 PM,45.0 °F,43.5 °F,21.9 °F,40%,30.43 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 PM,46.0 °F,  -,23.0 °F,40%,30.41 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
3:52 PM,48.0 °F,  -,24.1 °F,39%,30.40 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Clear
4:52 PM,48.0 °F,  -,25.0 °F,41%,30.40 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,46.0 °F,  -,27.0 °F,47%,30.40 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
6:52 PM,43.0 °F,  -,27.0 °F,53%,30.41 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
7:52 PM,42.1 °F,40.2 °F,27.0 °F,55%,30.41 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,39.9 °F,37.8 °F,26.1 °F,58%,30.43 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:52 PM,39.0 °F,35.7 °F,25.0 °F,57%,30.43 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:52 PM,37.0 °F,34.5 °F,25.0 °F,62%,30.43 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:52 PM,36.0 °F,33.3 °F,25.0 °F,64%,30.43 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Scattered Clouds
