Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,28.0 °F,17.0 °F,7.0 °F,41%,30.05 in,10.0 mi,WNW,13.8 mph,  -,N/A,	 ,Clear
1:52 AM,27.0 °F,15.6 °F,7.0 °F,43%,30.04 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
2:52 AM,27.0 °F,15.2 °F,7.0 °F,43%,30.03 in,10.0 mi,NW,15.0 mph,  -,N/A,	 ,Clear
3:52 AM,26.1 °F,15.0 °F,8.1 °F,47%,30.03 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
4:52 AM,24.1 °F,12.0 °F,9.0 °F,53%,30.02 in,10.0 mi,NW,13.8 mph,  -,N/A,	 ,Clear
5:52 AM,24.1 °F,10.1 °F,10.0 °F,55%,30.03 in,10.0 mi,NW,18.4 mph,24.2 mph,N/A,	 ,Clear
6:52 AM,23.0 °F,8.0 °F,10.9 °F,60%,30.05 in,10.0 mi,NW,20.7 mph,26.5 mph,N/A,	 ,Clear
7:52 AM,23.0 °F,8.7 °F,10.9 °F,60%,30.06 in,10.0 mi,WNW,18.4 mph,  -,N/A,	 ,Clear
8:52 AM,23.0 °F,8.3 °F,12.0 °F,63%,30.08 in,10.0 mi,NW,19.6 mph,25.3 mph,N/A,	 ,Partly Cloudy
9:52 AM,26.1 °F,12.0 °F,10.9 °F,53%,30.09 in,10.0 mi,NW,20.7 mph,29.9 mph,N/A,	 ,Partly Cloudy
10:52 AM,28.0 °F,14.3 °F,9.0 °F,45%,30.11 in,10.0 mi,NW,21.9 mph,32.2 mph,N/A,	 ,Partly Cloudy
11:52 AM,30.9 °F,19.4 °F,8.1 °F,38%,30.10 in,10.0 mi,NW,17.3 mph,28.8 mph,N/A,	 ,Partly Cloudy
12:52 PM,33.1 °F,22.2 °F,8.1 °F,35%,30.09 in,10.0 mi,NW,17.3 mph,  -,N/A,	 ,Partly Cloudy
1:52 PM,33.1 °F,20.9 °F,6.1 °F,32%,30.09 in,10.0 mi,WNW,21.9 mph,27.6 mph,N/A,	 ,Partly Cloudy
2:52 PM,34.0 °F,22.1 °F,3.9 °F,28%,30.09 in,10.0 mi,NW,21.9 mph,31.1 mph,N/A,	 ,Clear
3:52 PM,34.0 °F,23.4 °F,3.0 °F,27%,30.11 in,10.0 mi,WNW,17.3 mph,29.9 mph,N/A,	 ,Clear
4:52 PM,32.0 °F,22.1 °F,3.0 °F,29%,30.13 in,10.0 mi,WNW,13.8 mph,21.9 mph,N/A,	 ,Clear
5:52 PM,28.9 °F,15.8 °F,1.9 °F,32%,30.16 in,10.0 mi,NW,20.7 mph,  -,N/A,	 ,Clear
6:52 PM,28.0 °F,15.7 °F,1.9 °F,33%,30.19 in,10.0 mi,NNW,17.3 mph,23.0 mph,N/A,	 ,Clear
7:52 PM,26.1 °F,12.0 °F,3.9 °F,39%,30.22 in,10.0 mi,NNW,20.7 mph,25.3 mph,N/A,	 ,Clear
8:52 PM,24.1 °F,10.6 °F,3.9 °F,42%,30.24 in,10.0 mi,NW,17.3 mph,23.0 mph,N/A,	 ,Clear
9:52 PM,23.0 °F,10.1 °F,6.1 °F,48%,30.25 in,10.0 mi,NNW,15.0 mph,21.9 mph,N/A,	 ,Clear
10:52 PM,21.9 °F,7.8 °F,6.1 °F,51%,30.27 in,10.0 mi,NNW,17.3 mph,23.0 mph,N/A,	 ,Clear
11:52 PM,19.9 °F,7.9 °F,6.1 °F,55%,30.26 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
