Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,39.0 °F,33.4 °F,37.9 °F,96%,30.22 in,6.0 mi,NE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
1:52 AM,37.9 °F,32.1 °F,37.0 °F,97%,30.21 in,8.0 mi,ENE,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:52 AM,37.0 °F,31.6 °F,37.0 °F,100%,30.20 in,9.0 mi,ENE,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:28 AM,37.0 °F,31.6 °F,37.0 °F,100%,30.17 in,7.0 mi,NE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,39.0 °F,33.4 °F,37.9 °F,96%,30.20 in,9.0 mi,NE,8.1 mph,  -,N/A,	 ,Overcast
4:52 AM,41.0 °F,35.8 °F,39.0 °F,93%,30.20 in,7.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
5:52 AM,42.1 °F,37.1 °F,39.9 °F,92%,30.21 in,7.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
6:52 AM,43.0 °F,40.3 °F,41.0 °F,93%,30.22 in,7.0 mi,East,4.6 mph,  -,N/A,	 ,Overcast
7:52 AM,44.1 °F,39.5 °F,41.0 °F,89%,30.23 in,7.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
8:52 AM,46.0 °F,41.9 °F,43.0 °F,89%,30.26 in,7.0 mi,ENE,8.1 mph,  -,N/A,	 ,Overcast
9:36 AM,46.9 °F,  -,44.1 °F,90%,30.25 in,6.0 mi,East,6.9 mph,  -,0.00 in,	 ,Light Drizzle
9:52 AM,48.0 °F,  -,45.0 °F,89%,30.27 in,6.0 mi,East,9.2 mph,  -,0.00 in,	 ,Mostly Cloudy
10:52 AM,50.0 °F,  -,46.9 °F,89%,30.29 in,5.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
11:23 AM,50.0 °F,  -,48.9 °F,96%,30.26 in,3.0 mi,Variable,5.8 mph,  -,0.00 in,	 ,Light Drizzle
11:52 AM,52.0 °F,  -,50.0 °F,93%,30.27 in,4.0 mi,ENE,5.8 mph,  -,0.00 in,	 ,Light Drizzle
12:30 PM,55.0 °F,  -,51.1 °F,86%,30.24 in,7.0 mi,NE,8.1 mph,  -,0.00 in,	 ,Overcast
12:52 PM,55.9 °F,  -,52.0 °F,87%,30.23 in,10.0 mi,NE,8.1 mph,  -,0.00 in,	 ,Mostly Cloudy
1:03 PM,57.9 °F,  -,52.0 °F,81%,30.21 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Scattered Clouds
1:52 PM,61.0 °F,  -,54.0 °F,78%,30.20 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,63.0 °F,  -,54.0 °F,72%,30.18 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Scattered Clouds
3:52 PM,64.0 °F,  -,53.1 °F,67%,30.18 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,63.0 °F,  -,52.0 °F,67%,30.19 in,10.0 mi,ENE,10.4 mph,  -,N/A,	 ,Partly Cloudy
5:52 PM,59.0 °F,  -,51.1 °F,75%,30.20 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,57.9 °F,  -,51.1 °F,78%,30.21 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,57.9 °F,  -,52.0 °F,81%,30.21 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,54.0 °F,  -,51.1 °F,90%,30.23 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:52 PM,53.1 °F,  -,50.0 °F,89%,30.23 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
10:52 PM,54.0 °F,  -,52.0 °F,93%,30.24 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:12 PM,55.9 °F,  -,53.1 °F,90%,30.23 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,55.9 °F,  -,55.0 °F,97%,30.22 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
