Time (EST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:52 AM,66.9 °F,63.0 °F,87%,30.35 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,66.0 °F,63.0 °F,90%,30.36 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
2:52 AM,66.0 °F,63.0 °F,90%,30.36 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Mostly Cloudy
3:52 AM,64.9 °F,63.0 °F,93%,30.36 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
4:52 AM,64.0 °F,63.0 °F,96%,30.37 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:52 AM,63.0 °F,63.0 °F,100%,30.38 in,10.0 mi,SE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
6:52 AM,63.0 °F,63.0 °F,100%,30.40 in,8.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
7:52 AM,63.0 °F,63.0 °F,100%,30.42 in,6.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:35 AM,64.9 °F,64.0 °F,97%,30.44 in,6.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,64.9 °F,64.0 °F,97%,30.44 in,6.0 mi,SSE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,68.0 °F,64.9 °F,90%,30.44 in,6.0 mi,SE,4.6 mph,  -,N/A,	 ,Haze
10:52 AM,72.0 °F,64.9 °F,78%,30.44 in,8.0 mi,ESE,6.9 mph,  -,N/A,	 ,Scattered Clouds
11:52 AM,73.9 °F,64.0 °F,71%,30.44 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Scattered Clouds
12:52 PM,77.0 °F,64.9 °F,66%,30.42 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
12:54 PM,75.9 °F,64.9 °F,69%,30.44 in,10.0 mi,SE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:52 PM,78.1 °F,64.0 °F,62%,30.39 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Scattered Clouds
2:52 PM,78.1 °F,64.9 °F,64%,30.37 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:52 PM,79.0 °F,64.0 °F,60%,30.35 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,78.1 °F,63.0 °F,60%,30.35 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,75.9 °F,63.0 °F,64%,30.36 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:52 PM,73.0 °F,63.0 °F,71%,30.37 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Partly Cloudy
7:52 PM,71.1 °F,63.0 °F,75%,30.38 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Partly Cloudy
8:52 PM,71.1 °F,63.0 °F,75%,30.37 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Clear
9:52 PM,69.1 °F,63.0 °F,81%,30.38 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Clear
10:52 PM,68.0 °F,63.0 °F,84%,30.38 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Clear
11:52 PM,66.0 °F,62.1 °F,87%,30.37 in,10.0 mi,SSE,4.6 mph,  -,N/A,	 ,Clear
