Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:52 AM,42.1 °F,40.2 °F,28.9 °F,60%,30.26 in,10.0 mi,ESE,3.5 mph,  -,N/A,	 ,Partly Cloudy
1:52 AM,41.0 °F,39.0 °F,28.9 °F,62%,30.26 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Partly Cloudy
2:52 AM,42.1 °F,  -,30.0 °F,62%,30.27 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
3:52 AM,42.1 °F,  -,30.9 °F,65%,30.26 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
4:52 AM,43.0 °F,40.3 °F,30.0 °F,60%,30.24 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Overcast
5:52 AM,45.0 °F,43.5 °F,32.0 °F,60%,30.25 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
6:52 AM,45.0 °F,41.8 °F,33.1 °F,63%,30.28 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Overcast
7:52 AM,45.0 °F,40.1 °F,32.0 °F,60%,30.30 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Mostly Cloudy
8:52 AM,46.9 °F,  -,33.1 °F,59%,30.33 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 AM,48.0 °F,  -,34.0 °F,58%,30.35 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Mostly Cloudy
10:52 AM,48.9 °F,  -,36.0 °F,61%,30.35 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Overcast
11:52 AM,53.1 °F,  -,37.0 °F,55%,30.34 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
12:52 PM,57.9 °F,  -,39.9 °F,51%,30.31 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
1:52 PM,62.1 °F,  -,42.1 °F,48%,30.26 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:52 PM,64.9 °F,  -,43.0 °F,45%,30.23 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
3:52 PM,66.9 °F,  -,45.0 °F,45%,30.22 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Scattered Clouds
4:52 PM,69.1 °F,  -,45.0 °F,42%,30.22 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Scattered Clouds
5:52 PM,66.0 °F,  -,46.9 °F,50%,30.23 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:52 PM,63.0 °F,  -,46.9 °F,56%,30.24 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:52 PM,62.1 °F,  -,46.9 °F,58%,30.25 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Scattered Clouds
8:52 PM,61.0 °F,  -,46.9 °F,60%,30.25 in,10.0 mi,ESE,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:52 PM,60.1 °F,  -,46.9 °F,62%,30.25 in,10.0 mi,ESE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
10:52 PM,57.9 °F,  -,46.9 °F,67%,30.24 in,10.0 mi,SE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:52 PM,57.9 °F,  -,48.0 °F,70%,30.22 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
