Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,28.9 °F,21.1 °F,19.9 °F,69%,30.05 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,30.0 °F,20.5 °F,21.0 °F,69%,30.06 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,26.1 °F,21.9 °F,19.0 °F,75%,30.09 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,26.1 °F,20.5 °F,19.9 °F,78%,30.08 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
4:53 AM,30.0 °F,  -,21.0 °F,69%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
5:53 AM,28.0 °F,20.8 °F,19.9 °F,72%,30.09 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,27.0 °F,18.7 °F,19.9 °F,75%,30.09 in,10.0 mi,SW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,30.0 °F,21.1 °F,21.0 °F,69%,30.06 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,33.1 °F,  -,23.0 °F,66%,30.09 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
9:53 AM,37.0 °F,  -,27.0 °F,67%,30.06 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
10:53 AM,42.1 °F,  -,26.1 °F,53%,30.04 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
11:53 AM,42.1 °F,40.2 °F,28.9 °F,60%,29.99 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Overcast
12:53 PM,41.0 °F,38.0 °F,27.0 °F,57%,29.97 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Overcast
1:53 PM,44.1 °F,41.5 °F,28.0 °F,53%,29.94 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,41.0 °F,39.0 °F,28.9 °F,62%,29.94 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,45.0 °F,40.6 °F,30.9 °F,58%,29.93 in,10.0 mi,SSE,8.1 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,48.0 °F,  -,28.9 °F,48%,29.91 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,39.9 °F,35.8 °F,28.9 °F,65%,29.94 in,10.0 mi,SE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,39.0 °F,34.0 °F,28.0 °F,65%,29.96 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,37.9 °F,35.5 °F,27.0 °F,65%,29.94 in,10.0 mi,SSE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,41.0 °F,36.4 °F,28.0 °F,60%,29.91 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Overcast
9:53 PM,39.9 °F,35.1 °F,27.0 °F,60%,29.89 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,37.0 °F,30.4 °F,26.1 °F,65%,29.88 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Mostly Cloudy
11:53 PM,39.0 °F,34.0 °F,24.1 °F,55%,29.87 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
