Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,12.9 °F,2.6 °F,9.0 °F,84%,30.36 in,10.0 mi,SSE,6.9 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,10.0 °F,-2.9 °F,7.0 °F,87%,30.35 in,6.0 mi,SSE,9.2 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,10.9 °F,-2.6 °F,7.0 °F,84%,30.35 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:11 AM,10.9 °F,-2.6 °F,7.0 °F,84%,30.26 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Mostly Cloudy
3:53 AM,12.0 °F,-2.0 °F,9.0 °F,88%,30.33 in,10.0 mi,SSE,11.5 mph,  -,N/A,	 ,Mostly Cloudy
4:11 AM,10.0 °F,-5.2 °F,6.1 °F,84%,30.23 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Scattered Clouds
4:53 AM,8.1 °F,-6.2 °F,3.9 °F,83%,30.32 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,10.0 °F,-3.7 °F,6.1 °F,84%,30.31 in,10.0 mi,South,10.4 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,10.0 °F,-5.2 °F,6.1 °F,84%,30.31 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,17.1 °F,5.8 °F,12.0 °F,81%,30.28 in,10.0 mi,SSE,9.2 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,24.1 °F,14.4 °F,18.0 °F,77%,30.25 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,28.9 °F,  -,19.9 °F,69%,30.22 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:53 AM,33.1 °F,28.7 °F,23.0 °F,66%,30.16 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,37.9 °F,34.4 °F,23.0 °F,55%,30.10 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,42.1 °F,37.7 °F,21.9 °F,45%,30.02 in,10.0 mi,NW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
1:53 PM,41.0 °F,34.3 °F,21.9 °F,47%,30.01 in,10.0 mi,NNW,11.5 mph,  -,N/A,	 ,Mostly Cloudy
2:53 PM,39.9 °F,33.9 °F,21.9 °F,49%,29.98 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,39.9 °F,37.8 °F,21.9 °F,49%,29.95 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
4:53 PM,39.9 °F,  -,23.0 °F,51%,29.94 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
5:53 PM,33.1 °F,26.1 °F,21.9 °F,64%,29.93 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,32.0 °F,25.6 °F,21.9 °F,66%,29.94 in,10.0 mi,SSW,6.9 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,30.0 °F,24.1 °F,21.0 °F,69%,29.90 in,10.0 mi,South,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,28.9 °F,20.4 °F,21.0 °F,72%,29.87 in,10.0 mi,WSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
9:23 PM,37.9 °F,27.1 °F,15.1 °F,39%,29.81 in,10.0 mi,WNW,23.0 mph,29.9 mph,N/A,	 ,Partly Cloudy
9:53 PM,39.9 °F,29.0 °F,10.9 °F,31%,29.79 in,10.0 mi,WNW,26.5 mph,35.7 mph,N/A,	 ,Partly Cloudy
10:53 PM,39.9 °F,29.7 °F,9.0 °F,28%,29.81 in,10.0 mi,WNW,23.0 mph,33.4 mph,N/A,	 ,Partly Cloudy
11:53 PM,41.0 °F,31.6 °F,10.0 °F,28%,29.81 in,10.0 mi,West,20.7 mph,38.0 mph,N/A,	 ,Clear
