Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,39.0 °F,30.6 °F,10.9 °F,32%,29.83 in,10.0 mi,WNW,15.0 mph,  -,N/A,	 ,Clear
1:53 AM,34.0 °F,26.6 °F,10.0 °F,37%,29.86 in,10.0 mi,NW,9.2 mph,23.0 mph,N/A,	 ,Partly Cloudy
2:53 AM,28.9 °F,22.8 °F,10.9 °F,47%,29.91 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,30.0 °F,20.5 °F,12.0 °F,47%,29.93 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Clear
4:53 AM,28.0 °F,20.8 °F,10.9 °F,49%,29.96 in,10.0 mi,NNE,6.9 mph,  -,N/A,	 ,Clear
5:53 AM,30.0 °F,22.4 °F,10.9 °F,45%,30.01 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Clear
6:53 AM,30.0 °F,24.1 °F,10.9 °F,45%,30.04 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,28.9 °F,21.1 °F,14.0 °F,54%,30.07 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,36.0 °F,28.5 °F,15.1 °F,43%,30.06 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,41.0 °F,33.9 °F,12.9 °F,32%,30.02 in,10.0 mi,SSE,12.7 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,44.1 °F,41.5 °F,10.0 °F,25%,30.01 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,46.9 °F,  -,10.0 °F,22%,29.99 in,10.0 mi,SE,8.1 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,48.9 °F,  -,10.9 °F,22%,29.95 in,10.0 mi,SE,11.5 mph,21.9 mph,N/A,	 ,Partly Cloudy
1:53 PM,54.0 °F,  -,7.0 °F,15%,29.91 in,10.0 mi,South,15.0 mph,20.7 mph,N/A,	 ,Partly Cloudy
2:53 PM,55.0 °F,  -,10.0 °F,17%,29.89 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Partly Cloudy
3:07 PM,55.0 °F,  -,10.9 °F,17%,29.93 in,10.0 mi,South,11.5 mph,23.0 mph,N/A,	 ,Partly Cloudy
3:53 PM,54.0 °F,  -,12.0 °F,19%,29.86 in,10.0 mi,South,16.1 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,52.0 °F,  -,15.1 °F,23%,29.85 in,10.0 mi,South,15.0 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,44.1 °F,37.1 °F,16.0 °F,32%,29.86 in,10.0 mi,SSE,15.0 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,42.1 °F,33.3 °F,16.0 °F,35%,29.86 in,10.0 mi,South,19.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,41.0 °F,33.9 °F,16.0 °F,36%,29.86 in,10.0 mi,South,12.7 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,41.0 °F,34.3 °F,15.1 °F,35%,29.81 in,10.0 mi,SW,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,39.0 °F,32.8 °F,15.1 °F,38%,29.76 in,10.0 mi,SW,9.2 mph,  -,N/A,	 ,Clear
10:53 PM,35.1 °F,25.9 °F,14.0 °F,42%,29.73 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Clear
11:53 PM,37.0 °F,33.3 °F,12.9 °F,37%,29.68 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Clear
