Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,3.0 °F,-8.0 °F,-0.9 °F,84%,30.40 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,1.9 °F,-7.6 °F,-2.0 °F,83%,30.40 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,1.0 °F,-11.7 °F,-2.9 °F,83%,30.39 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Partly Cloudy
3:13 AM,1.9 °F,-7.6 °F,-2.9 °F,80%,30.15 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,-4.0 °F,-16.3 °F,-8.0 °F,83%,30.41 in,8.0 mi,NW,5.8 mph,  -,N/A,	 ,Mostly Cloudy
4:53 AM,-2.0 °F,-10.1 °F,-7.1 °F,79%,30.42 in,8.0 mi,South,3.5 mph,  -,N/A,	 ,Scattered Clouds
5:53 AM,1.0 °F,-6.7 °F,-4.0 °F,79%,30.42 in,8.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,1.0 °F,-14.9 °F,-4.0 °F,79%,30.46 in,7.0 mi,SW,10.4 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,6.1 °F,-0.9 °F,1.9 °F,83%,30.45 in,7.0 mi,Variable,3.5 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,7.0 °F,-1.7 °F,3.0 °F,84%,30.44 in,7.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,12.9 °F,2.6 °F,8.1 °F,81%,30.40 in,9.0 mi,ESE,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,19.9 °F,14.9 °F,10.0 °F,65%,30.35 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,21.0 °F,11.4 °F,12.9 °F,71%,30.32 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,21.9 °F,9.2 °F,14.0 °F,72%,30.30 in,9.0 mi,North,13.8 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,21.0 °F,10.6 °F,14.0 °F,74%,30.29 in,7.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,19.9 °F,7.9 °F,12.9 °F,74%,30.29 in,7.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,19.0 °F,6.8 °F,12.0 °F,74%,30.31 in,6.0 mi,North,11.5 mph,  -,N/A,	 ,Haze
4:53 PM,17.1 °F,4.3 °F,10.0 °F,74%,30.32 in,7.0 mi,NNW,11.5 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,15.1 °F,3.3 °F,8.1 °F,74%,30.34 in,5.0 mi,NNW,9.2 mph,  -,N/A,	 ,Haze
6:53 PM,12.9 °F,5.2 °F,8.1 °F,81%,30.35 in,6.0 mi,West,4.6 mph,  -,N/A,	 ,Haze
7:53 PM,12.0 °F,1.5 °F,6.1 °F,77%,30.33 in,6.0 mi,SW,6.9 mph,  -,N/A,	 ,Haze
8:53 PM,12.0 °F,0.5 °F,6.1 °F,77%,30.32 in,5.0 mi,SW,8.1 mph,  -,N/A,	 ,Haze
9:53 PM,12.0 °F,0.5 °F,6.1 °F,77%,30.28 in,6.0 mi,SW,8.1 mph,  -,N/A,	 ,Haze
10:53 PM,12.0 °F,0.5 °F,5.0 °F,73%,30.24 in,6.0 mi,SW,8.1 mph,  -,N/A,	 ,Haze
11:53 PM,15.1 °F,5.2 °F,8.1 °F,74%,30.21 in,6.0 mi,SSW,6.9 mph,  -,N/A,	 ,Haze
