Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,27.0 °F,23.0 °F,10.0 °F,49%,29.82 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Clear
1:53 AM,30.9 °F,24.3 °F,8.1 °F,38%,29.80 in,10.0 mi,South,6.9 mph,  -,N/A,	 ,Clear
2:53 AM,27.0 °F,23.0 °F,10.0 °F,49%,29.79 in,10.0 mi,West,3.5 mph,  -,N/A,	 ,Clear
3:53 AM,25.0 °F,17.1 °F,10.0 °F,53%,29.80 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Clear
4:53 AM,24.1 °F,17.0 °F,12.0 °F,60%,29.81 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Clear
5:53 AM,21.9 °F,12.5 °F,12.0 °F,66%,29.86 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,23.0 °F,15.8 °F,12.0 °F,63%,29.89 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:53 AM,30.0 °F,24.1 °F,15.1 °F,54%,29.86 in,10.0 mi,WSW,5.8 mph,  -,N/A,	 ,Partly Cloudy
8:53 AM,37.0 °F,29.8 °F,15.1 °F,41%,29.85 in,10.0 mi,WSW,10.4 mph,  -,N/A,	 ,Partly Cloudy
9:53 AM,42.1 °F,38.4 °F,17.1 °F,37%,29.84 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
10:53 AM,45.0 °F,42.6 °F,15.1 °F,30%,29.81 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,48.9 °F,  -,16.0 °F,27%,29.79 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,52.0 °F,  -,15.1 °F,23%,29.76 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,55.9 °F,  -,15.1 °F,20%,29.71 in,10.0 mi,NE,10.4 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,55.9 °F,  -,9.0 °F,15%,29.71 in,10.0 mi,NNE,9.2 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,55.0 °F,  -,3.9 °F,13%,29.72 in,10.0 mi,NE,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,53.1 °F,  -,6.1 °F,15%,29.73 in,10.0 mi,NE,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,46.0 °F,43.1 °F,8.1 °F,21%,29.78 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,44.1 °F,41.5 °F,5.0 °F,20%,29.78 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,34.0 °F,26.6 °F,7.0 °F,32%,29.81 in,10.0 mi,South,9.2 mph,  -,N/A,	 ,Clear
8:53 PM,33.1 °F,25.5 °F,9.0 °F,37%,29.80 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Clear
9:53 PM,33.1 °F,24.4 °F,10.0 °F,38%,29.78 in,10.0 mi,SSW,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,33.1 °F,25.5 °F,10.0 °F,38%,29.76 in,10.0 mi,SSW,9.2 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,32.0 °F,23.6 °F,10.0 °F,40%,29.75 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Partly Cloudy
