Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,23.0 °F,17.0 °F,7.0 °F,50%,30.48 in,10.0 mi,WNW,4.6 mph,  -,N/A,	 ,Clear
1:53 AM,23.0 °F,14.7 °F,8.1 °F,53%,30.47 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Clear
2:53 AM,23.0 °F,13.9 °F,10.0 °F,58%,30.48 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
3:53 AM,21.9 °F,12.5 °F,10.0 °F,60%,30.46 in,10.0 mi,WNW,8.1 mph,  -,N/A,	 ,Clear
4:53 AM,21.9 °F,15.7 °F,10.0 °F,60%,30.44 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Clear
5:53 AM,21.9 °F,12.5 °F,10.0 °F,60%,30.43 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Clear
6:53 AM,19.0 °F,12.3 °F,10.9 °F,71%,30.43 in,10.0 mi,South,4.6 mph,  -,N/A,	 ,Clear
7:53 AM,21.9 °F,  -,10.9 °F,63%,30.42 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
8:53 AM,25.0 °F,20.7 °F,12.9 °F,60%,30.43 in,10.0 mi,SW,3.5 mph,  -,N/A,	 ,Clear
9:53 AM,33.1 °F,28.7 °F,14.0 °F,46%,30.44 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Clear
10:53 AM,37.9 °F,31.5 °F,14.0 °F,38%,30.42 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Clear
11:53 AM,41.0 °F,34.3 °F,15.1 °F,35%,30.40 in,10.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
12:53 PM,44.1 °F,39.0 °F,14.0 °F,30%,30.38 in,10.0 mi,NW,9.2 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,48.9 °F,  -,14.0 °F,25%,30.34 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,39.0 °F,35.7 °F,21.0 °F,49%,30.34 in,10.0 mi,NW,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,37.0 °F,32.4 °F,21.0 °F,52%,30.33 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Partly Cloudy
