Time (CST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,55.9 °F,39.0 °F,53%,30.11 in,10.0 mi,SSE,17.3 mph,25.3 mph,N/A,	 ,Overcast
1:37 AM,55.0 °F,41.0 °F,59%,30.09 in,10.0 mi,SSE,16.1 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,54.0 °F,41.0 °F,62%,30.08 in,10.0 mi,SSE,15.0 mph,23.0 mph,N/A,	 ,Overcast
2:53 AM,55.0 °F,45.0 °F,69%,30.07 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Overcast
3:53 AM,55.0 °F,46.0 °F,72%,30.06 in,10.0 mi,South,18.4 mph,24.2 mph,N/A,	 ,Overcast
4:53 AM,54.0 °F,45.0 °F,72%,30.04 in,10.0 mi,South,16.1 mph,21.9 mph,N/A,	 ,Overcast
5:53 AM,53.1 °F,44.1 °F,71%,30.01 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Overcast
6:53 AM,53.1 °F,43.0 °F,69%,30.01 in,10.0 mi,South,19.6 mph,  -,N/A,	 ,Overcast
7:53 AM,53.1 °F,44.1 °F,71%,29.99 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Overcast
8:48 AM,53.6 °F,44.6 °F,72%,30.01 in,10.0 mi,SSE,18.4 mph,  -,N/A,	 ,Overcast
8:53 AM,53.1 °F,45.0 °F,74%,30.00 in,10.0 mi,SSE,17.3 mph,  -,N/A,	 ,Overcast
9:53 AM,54.0 °F,46.9 °F,77%,29.98 in,10.0 mi,South,17.3 mph,26.5 mph,N/A,	 ,Overcast
10:53 AM,55.9 °F,48.9 °F,77%,29.96 in,10.0 mi,South,17.3 mph,  -,N/A,	 ,Overcast
11:53 AM,57.0 °F,50.0 °F,77%,29.91 in,6.0 mi,South,18.4 mph,25.3 mph,0.00 in,	 ,Light Drizzle
12:53 PM,60.1 °F,53.1 °F,78%,29.87 in,10.0 mi,South,19.6 mph,28.8 mph,0.00 in,	 ,Overcast
1:31 PM,61.0 °F,53.1 °F,75%,29.85 in,10.0 mi,South,15.0 mph,25.3 mph,N/A,	 ,Overcast
1:53 PM,61.0 °F,53.1 °F,75%,29.83 in,10.0 mi,South,18.4 mph,  -,N/A,	 ,Overcast
2:53 PM,62.1 °F,54.0 °F,75%,29.84 in,10.0 mi,South,13.8 mph,  -,N/A,	 ,Overcast
3:30 PM,61.0 °F,55.0 °F,81%,29.85 in,10.0 mi,South,13.8 mph,  -,0.00 in,Rain,Light Rain
3:53 PM,62.1 °F,55.0 °F,78%,29.84 in,10.0 mi,South,11.5 mph,  -,0.00 in,	 ,Overcast
4:53 PM,61.0 °F,55.9 °F,83%,29.85 in,5.0 mi,South,10.4 mph,  -,0.03 in,Rain,Light Rain
5:53 PM,60.1 °F,57.0 °F,90%,29.86 in,7.0 mi,SSE,5.8 mph,  -,0.08 in,Rain,Light Rain
6:53 PM,57.9 °F,57.0 °F,97%,29.86 in,6.0 mi,Variable,3.5 mph,  -,0.01 in,"Rain
	,
Thunderstorm",Light Rain
7:53 PM,57.9 °F,55.9 °F,93%,29.87 in,9.0 mi,SSW,8.1 mph,  -,0.06 in,	 ,Mostly Cloudy
8:53 PM,59.0 °F,55.9 °F,90%,29.88 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
9:53 PM,57.0 °F,54.0 °F,89%,29.90 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Mostly Cloudy
10:53 PM,54.0 °F,52.0 °F,93%,29.94 in,8.0 mi,NNW,16.1 mph,  -,N/A,	 ,Scattered Clouds
11:53 PM,54.0 °F,51.1 °F,90%,29.97 in,8.0 mi,NW,12.7 mph,  -,N/A,	 ,Scattered Clouds
