Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:28 AM,53.1 °F,  -,48.9 °F,86%,29.98 in,7.0 mi,NNW,13.8 mph,  -,N/A,	 ,Mostly Cloudy
12:53 AM,53.1 °F,  -,48.9 °F,86%,29.98 in,6.0 mi,NNW,15.0 mph,24.2 mph,N/A,	 ,Overcast
1:18 AM,52.0 °F,  -,48.0 °F,86%,30.00 in,6.0 mi,NNW,15.0 mph,  -,N/A,	 ,Mostly Cloudy
1:53 AM,50.0 °F,  -,46.9 °F,89%,30.00 in,6.0 mi,NNW,16.1 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,48.0 °F,  -,44.1 °F,86%,30.04 in,7.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
3:53 AM,46.0 °F,40.6 °F,41.0 °F,83%,30.05 in,7.0 mi,NNW,11.5 mph,  -,N/A,	 ,Clear
4:53 AM,45.0 °F,39.7 °F,39.9 °F,82%,30.06 in,8.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
5:53 AM,43.0 °F,36.8 °F,37.9 °F,82%,30.09 in,9.0 mi,NW,11.5 mph,  -,N/A,	 ,Clear
6:53 AM,43.0 °F,37.2 °F,37.9 °F,82%,30.11 in,9.0 mi,NW,10.4 mph,  -,N/A,	 ,Clear
7:53 AM,43.0 °F,36.4 °F,36.0 °F,76%,30.14 in,10.0 mi,NW,12.7 mph,  -,N/A,	 ,Clear
8:53 AM,45.0 °F,37.9 °F,37.0 °F,74%,30.17 in,10.0 mi,NW,16.1 mph,  -,N/A,	 ,Clear
9:53 AM,48.9 °F,  -,37.9 °F,66%,30.16 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Clear
10:53 AM,53.1 °F,  -,37.9 °F,57%,30.17 in,10.0 mi,North,12.7 mph,  -,N/A,	 ,Partly Cloudy
11:53 AM,54.0 °F,  -,37.9 °F,55%,30.14 in,10.0 mi,North,15.0 mph,  -,N/A,	 ,Partly Cloudy
12:53 PM,57.0 °F,  -,37.9 °F,49%,30.14 in,10.0 mi,NNW,8.1 mph,  -,N/A,	 ,Partly Cloudy
1:53 PM,59.0 °F,  -,39.0 °F,48%,30.12 in,10.0 mi,NNW,10.4 mph,  -,N/A,	 ,Partly Cloudy
2:53 PM,60.1 °F,  -,37.9 °F,44%,30.12 in,10.0 mi,NW,10.4 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,61.0 °F,  -,37.9 °F,42%,30.12 in,10.0 mi,North,11.5 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,59.0 °F,  -,39.0 °F,48%,30.13 in,10.0 mi,North,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,55.0 °F,  -,37.9 °F,53%,30.14 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,53.1 °F,  -,39.0 °F,59%,30.14 in,10.0 mi,NNW,5.8 mph,  -,N/A,	 ,Clear
7:53 PM,51.1 °F,  -,39.0 °F,63%,30.13 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
8:53 PM,48.9 °F,  -,37.9 °F,66%,30.14 in,10.0 mi,North,6.9 mph,  -,N/A,	 ,Clear
9:53 PM,46.0 °F,44.8 °F,37.9 °F,73%,30.14 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Clear
10:53 PM,48.9 °F,  -,37.9 °F,66%,30.16 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Clear
11:53 PM,43.0 °F,39.5 °F,36.0 °F,76%,30.16 in,10.0 mi,North,5.8 mph,  -,N/A,	 ,Clear
