Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,62.1 °F,48.0 °F,60%,30.08 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Scattered Clouds
1:53 AM,60.1 °F,46.9 °F,62%,30.08 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:53 AM,59.0 °F,50.0 °F,72%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:53 AM,57.0 °F,48.9 °F,74%,30.06 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:53 AM,55.0 °F,48.0 °F,77%,30.07 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
5:53 AM,55.9 °F,48.0 °F,75%,30.07 in,10.0 mi,East,3.5 mph,  -,N/A,	 ,Scattered Clouds
6:53 AM,57.9 °F,46.0 °F,65%,30.09 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 AM,57.9 °F,46.0 °F,65%,30.09 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,62.1 °F,48.0 °F,60%,30.10 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,66.9 °F,45.0 °F,45%,30.11 in,10.0 mi,ESE,4.6 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,70.0 °F,48.9 °F,47%,30.10 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
11:53 AM,70.0 °F,55.9 °F,61%,30.07 in,6.0 mi,West,11.5 mph,  -,N/A,	 ,Haze
12:53 PM,68.0 °F,55.0 °F,63%,30.06 in,7.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,66.9 °F,55.9 °F,68%,30.05 in,8.0 mi,SW,10.4 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,68.0 °F,52.0 °F,56%,30.03 in,10.0 mi,West,4.6 mph,  -,N/A,	 ,Partly Cloudy
3:53 PM,71.1 °F,50.0 °F,47%,30.02 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:53 PM,68.0 °F,48.0 °F,49%,30.01 in,10.0 mi,SSW,3.5 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,63.0 °F,55.9 °F,78%,30.02 in,10.0 mi,West,10.4 mph,  -,N/A,	 ,Scattered Clouds
6:53 PM,61.0 °F,60.1 °F,97%,30.02 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:53 PM,61.0 °F,59.0 °F,93%,30.03 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Mostly Cloudy
8:53 PM,60.1 °F,57.9 °F,93%,30.04 in,10.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
9:53 PM,61.0 °F,59.0 °F,93%,30.04 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,61.0 °F,55.9 °F,83%,30.04 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 PM,59.0 °F,57.0 °F,93%,30.03 in,9.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
