Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,54.0 °F,30.0 °F,40%,30.20 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Partly Cloudy
1:53 AM,52.0 °F,28.0 °F,40%,30.20 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,51.1 °F,28.0 °F,41%,30.19 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:53 AM,50.0 °F,27.0 °F,41%,30.18 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
4:53 AM,50.0 °F,26.1 °F,39%,30.18 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Mostly Cloudy
6:53 AM,52.0 °F,23.0 °F,32%,30.21 in,10.0 mi,NE,3.5 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,55.0 °F,23.0 °F,29%,30.22 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
8:53 AM,61.0 °F,23.0 °F,23%,30.23 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Mostly Cloudy
9:53 AM,64.0 °F,23.0 °F,21%,30.23 in,10.0 mi,NNE,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,68.0 °F,21.9 °F,17%,30.23 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Mostly Cloudy
11:53 AM,71.1 °F,21.0 °F,15%,30.19 in,10.0 mi,North,4.6 mph,  -,N/A,	 ,Mostly Cloudy
12:53 PM,72.0 °F,23.0 °F,16%,30.16 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,73.0 °F,23.0 °F,15%,30.15 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,73.0 °F,19.0 °F,13%,30.14 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
3:53 PM,71.1 °F,28.0 °F,20%,30.14 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
4:53 PM,66.9 °F,36.0 °F,32%,30.14 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Partly Cloudy
5:53 PM,64.0 °F,41.0 °F,43%,30.15 in,10.0 mi,West,8.1 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,63.0 °F,42.1 °F,46%,30.15 in,10.0 mi,West,5.8 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,66.0 °F,21.9 °F,19%,30.15 in,10.0 mi,NW,5.8 mph,  -,N/A,	 ,Clear
8:53 PM,66.0 °F,18.0 °F,16%,30.15 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
9:53 PM,66.9 °F,17.1 °F,15%,30.16 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
10:53 PM,60.1 °F,27.0 °F,28%,30.17 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
11:53 PM,57.9 °F,26.1 °F,30%,30.17 in,10.0 mi,ENE,3.5 mph,  -,N/A,	 ,Clear
