Time (PST),Temp.,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,
12:53 AM,57.9 °F,53.1 °F,84%,29.94 in,8.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
1:53 AM,57.0 °F,53.1 °F,87%,29.93 in,10.0 mi,East,6.9 mph,  -,N/A,	 ,Overcast
2:53 AM,57.9 °F,52.0 °F,81%,29.92 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Overcast
3:53 AM,57.9 °F,52.0 °F,81%,29.91 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Overcast
4:53 AM,57.0 °F,51.1 °F,81%,29.91 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
5:53 AM,57.9 °F,51.1 °F,78%,29.92 in,10.0 mi,ENE,6.9 mph,  -,N/A,	 ,Overcast
6:53 AM,57.9 °F,51.1 °F,78%,29.94 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Overcast
7:53 AM,59.0 °F,51.1 °F,75%,29.94 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
8:53 AM,60.1 °F,51.1 °F,72%,29.94 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Overcast
9:53 AM,61.0 °F,51.1 °F,70%,29.94 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Overcast
10:53 AM,62.1 °F,51.1 °F,67%,29.93 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
11:53 AM,62.1 °F,51.1 °F,67%,29.91 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Mostly Cloudy
12:53 PM,64.0 °F,52.0 °F,65%,29.87 in,10.0 mi,Variable,5.8 mph,  -,N/A,	 ,Mostly Cloudy
1:05 PM,64.0 °F,52.0 °F,65%,29.86 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Overcast
1:53 PM,63.0 °F,53.1 °F,70%,29.85 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Overcast
2:53 PM,62.1 °F,54.0 °F,75%,29.84 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
3:53 PM,61.0 °F,54.0 °F,78%,29.84 in,10.0 mi,WSW,6.9 mph,  -,N/A,	 ,Overcast
4:53 PM,62.1 °F,54.0 °F,75%,29.84 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Mostly Cloudy
5:53 PM,60.1 °F,53.1 °F,78%,29.85 in,10.0 mi,WSW,8.1 mph,  -,N/A,	 ,Mostly Cloudy
6:53 PM,60.1 °F,54.0 °F,80%,29.86 in,10.0 mi,WSW,4.6 mph,  -,N/A,	 ,Scattered Clouds
7:53 PM,60.1 °F,54.0 °F,80%,29.88 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Scattered Clouds
8:53 PM,57.9 °F,54.0 °F,87%,29.88 in,10.0 mi,NNE,3.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,59.0 °F,54.0 °F,83%,29.90 in,10.0 mi,Calm,Calm,  -,N/A,	 ,Partly Cloudy
10:53 PM,59.0 °F,54.0 °F,83%,29.90 in,10.0 mi,NW,3.5 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,57.9 °F,53.1 °F,84%,29.91 in,10.0 mi,North,3.5 mph,  -,N/A,	 ,Partly Cloudy
