Time (PST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:53 AM,48.9 °F,  -,32.0 °F,52%,30.18 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Clear
1:53 AM,46.9 °F,  -,32.0 °F,56%,30.18 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Partly Cloudy
2:53 AM,44.1 °F,40.8 °F,30.9 °F,60%,30.17 in,10.0 mi,East,5.8 mph,  -,N/A,	 ,Partly Cloudy
3:53 AM,46.0 °F,43.1 °F,30.0 °F,54%,30.19 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Partly Cloudy
4:53 AM,44.1 °F,41.5 °F,30.0 °F,58%,30.19 in,10.0 mi,East,4.6 mph,  -,N/A,	 ,Partly Cloudy
5:53 AM,44.1 °F,41.5 °F,30.0 °F,58%,30.20 in,10.0 mi,ENE,4.6 mph,  -,N/A,	 ,Partly Cloudy
6:53 AM,46.0 °F,43.1 °F,30.9 °F,56%,30.21 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Mostly Cloudy
7:53 AM,48.9 °F,  -,32.0 °F,52%,30.22 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
8:53 AM,54.0 °F,  -,36.0 °F,51%,30.25 in,10.0 mi,East,8.1 mph,  -,N/A,	 ,Scattered Clouds
9:53 AM,55.9 °F,  -,39.9 °F,55%,30.25 in,10.0 mi,ESE,5.8 mph,  -,N/A,	 ,Scattered Clouds
10:53 AM,55.9 °F,  -,39.0 °F,53%,30.25 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
11:53 AM,59.0 °F,  -,39.0 °F,48%,30.23 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Scattered Clouds
12:53 PM,59.0 °F,  -,39.0 °F,48%,30.21 in,10.0 mi,WSW,13.8 mph,  -,N/A,	 ,Scattered Clouds
1:53 PM,57.9 °F,  -,42.1 °F,56%,30.19 in,10.0 mi,WSW,17.3 mph,  -,N/A,	 ,Scattered Clouds
2:53 PM,57.0 °F,  -,42.1 °F,57%,30.19 in,10.0 mi,West,15.0 mph,20.7 mph,N/A,	 ,Partly Cloudy
3:53 PM,57.0 °F,  -,41.0 °F,55%,30.17 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Scattered Clouds
4:53 PM,57.0 °F,  -,42.1 °F,57%,30.17 in,10.0 mi,West,13.8 mph,  -,N/A,	 ,Scattered Clouds
5:53 PM,55.0 °F,  -,41.0 °F,59%,30.17 in,10.0 mi,West,19.6 mph,  -,N/A,	 ,Partly Cloudy
6:53 PM,54.0 °F,  -,41.0 °F,62%,30.17 in,10.0 mi,West,20.7 mph,  -,N/A,	 ,Partly Cloudy
7:53 PM,53.1 °F,  -,41.0 °F,64%,30.18 in,10.0 mi,West,18.4 mph,  -,N/A,	 ,Partly Cloudy
8:53 PM,53.1 °F,  -,42.1 °F,66%,30.17 in,10.0 mi,West,11.5 mph,  -,N/A,	 ,Partly Cloudy
9:53 PM,53.1 °F,  -,42.1 °F,66%,30.17 in,10.0 mi,SW,6.9 mph,  -,N/A,	 ,Partly Cloudy
10:53 PM,52.0 °F,  -,41.0 °F,66%,30.17 in,10.0 mi,SW,4.6 mph,  -,N/A,	 ,Partly Cloudy
11:53 PM,50.0 °F,  -,39.9 °F,68%,30.18 in,10.0 mi,NNW,6.9 mph,  -,N/A,	 ,Partly Cloudy
