Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
,,,,,,,,,,,,
12:51 AM,39.0 °F,33.4 °F,28.9 °F,67%,29.94 in,10.0 mi,South,8.1 mph,  -,N/A,	 ,Overcast
1:51 AM,39.0 °F,34.0 °F,30.9 °F,73%,29.91 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Overcast
2:34 AM,39.2 °F,32.5 °F,32.0 °F,75%,29.91 in,10.0 mi,SSE,10.4 mph,  -,N/A,	 ,Overcast
2:51 AM,39.0 °F,36.8 °F,32.0 °F,76%,29.88 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
3:51 AM,39.0 °F,36.8 °F,34.0 °F,82%,29.87 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
4:51 AM,39.9 °F,36.7 °F,35.1 °F,83%,29.87 in,9.0 mi,Variable,4.6 mph,  -,N/A,	 ,Overcast
5:24 AM,39.2 °F,37.0 °F,33.8 °F,81%,29.91 in,9.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
5:47 AM,39.2 °F,35.0 °F,33.8 °F,81%,29.91 in,9.0 mi,Variable,5.8 mph,  -,N/A,	 ,Overcast
5:51 AM,39.0 °F,36.8 °F,33.1 °F,79%,29.88 in,9.0 mi,Variable,3.5 mph,  -,N/A,	 ,Overcast
6:42 AM,39.2 °F,34.2 °F,33.8 °F,81%,29.92 in,9.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
6:51 AM,39.0 °F,34.0 °F,32.0 °F,76%,29.90 in,8.0 mi,West,6.9 mph,  -,N/A,	 ,Mostly Cloudy
7:51 AM,39.0 °F,32.8 °F,30.0 °F,70%,29.94 in,10.0 mi,West,9.2 mph,17.3 mph,N/A,	 ,Clear
8:51 AM,41.0 °F,35.2 °F,30.0 °F,65%,29.96 in,10.0 mi,West,9.2 mph,  -,N/A,	 ,Clear
9:51 AM,43.0 °F,38.2 °F,28.0 °F,56%,29.97 in,10.0 mi,West,8.1 mph,20.7 mph,N/A,	 ,Scattered Clouds
10:51 AM,44.1 °F,38.6 °F,25.0 °F,47%,29.98 in,10.0 mi,NW,10.4 mph,19.6 mph,N/A,	 ,Clear
11:51 AM,46.0 °F,42.5 °F,25.0 °F,44%,30.00 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Clear
12:51 PM,48.0 °F,  -,24.1 °F,39%,29.98 in,10.0 mi,WNW,9.2 mph,16.1 mph,N/A,	 ,Clear
1:51 PM,48.0 °F,  -,23.0 °F,37%,29.98 in,10.0 mi,Variable,6.9 mph,  -,N/A,	 ,Mostly Cloudy
2:51 PM,50.0 °F,  -,23.0 °F,35%,29.99 in,10.0 mi,Variable,5.8 mph,16.1 mph,N/A,	 ,Clear
3:51 PM,50.0 °F,  -,23.0 °F,35%,30.00 in,10.0 mi,North,8.1 mph,  -,N/A,	 ,Clear
4:51 PM,48.9 °F,  -,24.1 °F,38%,30.03 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
5:51 PM,48.0 °F,  -,23.0 °F,37%,30.05 in,10.0 mi,Variable,3.5 mph,  -,N/A,	 ,Clear
6:51 PM,46.0 °F,43.9 °F,23.0 °F,40%,30.07 in,10.0 mi,NE,4.6 mph,  -,N/A,	 ,Clear
7:51 PM,45.0 °F,41.8 °F,25.0 °F,46%,30.08 in,10.0 mi,ENE,5.8 mph,  -,N/A,	 ,Clear
8:51 PM,45.0 °F,40.1 °F,28.9 °F,53%,30.08 in,10.0 mi,SE,9.2 mph,  -,N/A,	 ,Clear
9:51 PM,42.1 °F,39.2 °F,30.9 °F,65%,30.09 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
10:51 PM,41.0 °F,38.0 °F,32.0 °F,70%,30.12 in,10.0 mi,Variable,4.6 mph,  -,N/A,	 ,Clear
11:51 PM,41.0 °F,35.2 °F,35.1 °F,79%,30.09 in,9.0 mi,SE,9.2 mph,17.3 mph,N/A,	 ,Mostly Cloudy
